,Country,EdLevel,YearsCodePro,Age,Gender,Salary
9,Sweden,Master's Degree,4.0,30.0,Man,51552.0
11,Spain,Bachelor's Degree,5.0,30.0,Man,46482.0
12,Germany,Master's Degree,6.0,30.0,Man,77290.0
16,Turkey,Bachelor's Degree,2.0,30.0,Man,17748.0
17,Canada,Bachelor's Degree,6.0,30.0,Man,46135.0
23,France,Master's Degree,2.0,30.0,Man,38915.0
24,Germany,Master's Degree,18.0,40.0,Man,77831.0
26,Switzerland,Master's Degree,5.0,30.0,Man,81319.0
27,United Kingdom of Great Britain and Northern Ireland,Bachelor's Degree,21.0,50.0,Man,68507.0
29,Russian Federation,Master's Degree,16.0,40.0,Man,37752.0
31,Israel,Bachelor's Degree,2.0,30.0,Man,122580.0
34,Ukraine,Master's Degree,10.0,30.0,Man,24000.0
35,Germany,Master's Degree,10.0,30.0,Man,60535.0
36,United States of America,Bachelor's Degree,0.5,20.0,Man,103000.0
41,France,Master's Degree,3.0,30.0,Man,25944.0
45,Brazil,Bachelor's Degree,15.0,40.0,Man,60480.0
48,Bulgaria,Less than a Bachelor's Degree,1.0,20.0,Man,20556.0
50,Greece,Bachelor's Degree,6.0,30.0,Man,25944.0
55,United Kingdom of Great Britain and Northern Ireland,Master's Degree,12.0,40.0,Man,64630.0
57,Italy,Master's Degree,16.0,40.0,Man,54049.0
58,Russian Federation,Doctoral Degree,3.0,30.0,Man,22644.0
62,United States of America,Bachelor's Degree,5.0,30.0,Man,130000.0
67,Canada,Less than a Bachelor's Degree,10.0,40.0,Man,71850.0
68,Spain,Master's Degree,10.0,40.0,Man,58373.0
69,United Kingdom of Great Britain and Northern Ireland,Bachelor's Degree,18.0,40.0,Man,129266.0
70,Netherlands,Master's Degree,2.0,30.0,Man,25944.0
75,United States of America,Bachelor's Degree,15.0,50.0,Man,105000.0
76,Poland,Bachelor's Degree,8.0,30.0,Man,45564.0
79,Spain,Less than a Bachelor's Degree,8.792445560306254,20.0,Man,21620.0
81,Sweden,Bachelor's Degree,3.0,40.0,Man,40500.0
84,Hungary,Master's Degree,6.0,30.0,Man,42336.0
86,Canada,Less than a Bachelor's Degree,17.0,40.0,Man,95295.0
87,United States of America,Doctoral Degree,1.0,30.0,Man,100000.0
88,United Kingdom of Great Britain and Northern Ireland,Bachelor's Degree,14.0,40.0,Man,61398.0
91,Netherlands,Less than a Bachelor's Degree,10.0,30.0,Man,108098.0
97,Poland,Bachelor's Degree,4.0,20.0,Man,27336.0
105,Switzerland,Master's Degree,26.0,60.0,Man,134176.0
106,United Kingdom of Great Britain and Northern Ireland,Bachelor's Degree,3.0,20.0,Man,64630.0
108,Spain,Less than a Bachelor's Degree,8.0,30.0,Man,38915.0
114,Italy,Master's Degree,2.0,30.0,Man,14268.0
116,Netherlands,Bachelor's Degree,2.0,30.0,Man,43239.0
118,United States of America,Bachelor's Degree,6.0,30.0,Man,140000.0
119,France,Master's Degree,2.0,30.0,Man,45401.0
122,Bangladesh,Less than a Bachelor's Degree,4.0,20.0,Man,14124.0
123,Austria,Master's Degree,8.0,30.0,Man,59676.0
124,Israel,Less than a Bachelor's Degree,5.0,40.0,Man,101916.0
128,United States of America,Bachelor's Degree,1.0,20.0,Man,54000.0
130,Netherlands,Less than a Bachelor's Degree,5.0,30.0,Man,36324.0
134,Canada,Bachelor's Degree,8.792445560306254,30.0,Man,105884.0
136,United Kingdom of Great Britain and Northern Ireland,Bachelor's Degree,3.0,30.0,Man,38778.0
137,Canada,Master's Degree,5.0,40.0,Man,63530.0
142,Romania,Bachelor's Degree,2.0,20.0,Woman,14652.0
145,Germany,Master's Degree,11.0,30.0,Man,97288.0
146,Russian Federation,Doctoral Degree,5.0,30.0,Woman,75492.0
150,France,Master's Degree,5.0,20.0,Man,49725.0
151,Israel,Bachelor's Degree,8.792445560306254,50.0,Man,87552.0
152,United Kingdom of Great Britain and Northern Ireland,Bachelor's Degree,25.0,50.0,Man,70047.0
153,United States of America,Bachelor's Degree,4.0,20.0,Man,98500.0
155,United States of America,Bachelor's Degree,24.0,50.0,Man,115000.0
156,Switzerland,Master's Degree,6.0,30.0,Man,43908.0
157,Lithuania,Bachelor's Degree,7.0,30.0,Man,103408.0
159,Ukraine,Master's Degree,8.0,30.0,Man,42000.0
160,Israel,Bachelor's Degree,4.0,30.0,Man,105072.0
161,United Kingdom of Great Britain and Northern Ireland,Doctoral Degree,22.0,50.0,Man,71093.0
165,Slovenia,Less than a Bachelor's Degree,8.0,30.0,Man,59676.0
166,Croatia,Bachelor's Degree,4.0,40.0,Man,17412.0
170,Canada,Master's Degree,3.0,40.0,Man,98321.0
171,Germany,Master's Degree,8.792445560306254,30.0,Man,25944.0
172,Italy,Less than a Bachelor's Degree,14.0,40.0,Man,54049.0
173,Germany,Master's Degree,8.792445560306254,30.0,Man,51887.0
175,Russian Federation,Bachelor's Degree,6.0,30.0,Man,56616.0
176,Armenia,Bachelor's Degree,8.792445560306254,30.0,Man,25080.0
178,Ireland,Bachelor's Degree,11.0,30.0,Man,69183.0
